page_start,date_of_occurrence,time_of_occurrence,reason_for_force,service_rendered,citizen_injured,citizen_influence_assessment,officer_injured,citizen_race,citizen_gender,notes,officer_involved,name_badge_number,badge_number,force_used_1,force_used_1_effective,force_used_2,force_used_2_effective,force_used_3,force_used_3_effective,force_used_4,force_used_4_effective,force_used_5,force_used_5_effective,force_used_6,force_used_6_effective,force_used_7,force_used_7_effective,force_used_8,force_used_8_effective,officer_name,id
3803,2017-10-17T00:00:00Z,18:18:00,active aggression,effecting an arrest,no,alcohol and drug impaired,yes,white,male,NA,incident_officer_1,henry cook - 6010,6010,empty hand strikes,no,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,henry cook,3803-2017-m
4167,2018-12-26T00:00:00Z,16:43:00,effect an arrest,call for service,yes,alcohol and drug impaired,no,black,male,NA,incident_officer_1,tyler blissett - 7390,7390,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tyler blissett,4167-2018-m
271,2018-01-22T00:00:00Z,12:56:00,combative subject,mental inquest interview,yes,emotionally disturbed,yes,white,male,NA,incident_officer_3,michael pason - 7059,7059,take down,yes,verbal directions,no,de-escalation techniques,no,empty hand strikes,yes,NA,NA,NA,NA,NA,NA,NA,NA,michael pason,271-2018-m
1085,2017-04-10T00:00:00Z,19:42:00,effect an arrest,call for service,yes,NA,no,white,male,NA,incident_officer_2,joseph fox - 7150,7150,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joseph fox,1085-2017-m
2088,2019-08-10T00:00:00Z,04:00:00,active aggression,self initiated,yes,alcohol impaired,yes,white,male,NA,incident_officer_4,wesley troutman - 7071,7071,empty hand control,yes,de-escalation techniques,yes,verbal directions,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wesley troutman,2088-2019-m
2956,2017-08-13T00:00:00Z,14:15:00,active aggression,effecting an arrest,yes,excited,yes,black,male,NA,incident_officer_4,erik spencer - 7804,7804,take down,no,verbal directions,no,empty hand control,no,empty hand strikes,no,NA,NA,NA,NA,NA,NA,NA,NA,erik spencer,2956-2017-m
2088,2019-12-09T00:00:00Z,00:47:00,effect an arrest,vehicle pursuit,yes,drug impaired,no,white,male,NA,incident_officer_1,john livers - 7362,7362,empty hand strikes,yes,verbal directions,no,take down,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,john livers,2088-2019-m
3144,2019-12-16T00:00:00Z,23:45:00,effect an arrest,effecting an arrest,yes,excited,no,black,male,NA,incident_officer_2,robert andres - 7276,7276,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robert andres,3144-2019-m
1851,2018-06-01T00:00:00Z,11:00:00,resisting arrest,call for service,no,excited,no,black,male,NA,incident_officer_1,michael parson - 7059,7059,empty hand control,yes,verbal directions,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,michael parson,1851-2018-m
313,2018-01-26T00:00:00Z,22:20:00,non-compliance,effecting an arrest,yes,excited,no,black,female,NA,incident_officer_1,jeffrey mccauley - 7057,7057,de-escalation techniques,no,empty hand control,yes,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,jeffrey mccauley,313-2018-m
1143,2017-04-15T00:00:00Z,22:00:00,active aggression,warrant service,yes,excited,no,black,male,NA,incident_officer_5,wesley claxon - 7756,7756,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wesley claxon,1143-2017-m
592,2019-02-26T00:00:00Z,02:01:00,active aggression,call for service,yes,emotionally disturbed,no,white,male,NA,incident_officer_2,patrick norton - 7408,7408,ecw cartridge deployed,yes,verbal directions,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,patrick norton,592-2019-m
3010,2017-08-19T00:00:00Z,00:35:00,active aggression,crime in progress,yes,other,no,black,male,NA,incident_officer_1,william mayo - 7137,7137,empty hand control,yes,ecw cartridge deployed,limited,de-escalation techniques,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,william mayo,3010-2017-m
303,2018-01-26T00:00:00Z,13:46:00,resisting arrest,traffic stop,yes,normal,no,white,male,NA,incident_officer_1,david bassler - 7628,7628,ecw cartridge deployed,yes,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,david bassler,303-2018-m
177,2019-01-18T00:00:00Z,15:16:00,resisting arrest,self initiated,yes,excited,no,white,male,NA,incident_officer_1,charles meek - 7667,7667,take down,no,empty hand control,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,charles meek,177-2019-m
1042,2018-03-30T00:00:00Z,18:42:00,other-explain in narrative,other,no,NA,no,other,male,Incident officer #1 is the involved citizen himself; deployed ecw cartridge by mistake,incident_officer_1,roger marcum - 2745,2745,ecw cartridge deployed,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,roger marcum,1042-2018-m
3879,2017-10-25T00:00:00Z,20:58:00,combative subject,criminal investigation,yes,drug impaired,yes,black,male,NA,incident_officer_2,ryan banta - 7038,7038,verbal directions,no,take down,yes,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ryan banta,3879-2017-m
592,2017-02-24T00:00:00Z,13:35:00,combative subject,call for service,no,drug impaired,no,white,male,NA,incident_officer_1,dustin clem - 7377,7377,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dustin clem,592-2017-m
2926,2017-08-12T00:00:00Z,08:10:00,prevent harm to another,call for service,yes,emotionally disturbed,no,black,male,NA,incident_officer_1,degerald watson morton - 7458,7458,de-escalation techniques,no,come-along,no,verbal directions,no,ecw cartridge deployed,yes,NA,NA,NA,NA,NA,NA,NA,NA,degerald watson morton,2926-2017-m
1421,2018-04-26T00:00:00Z,18:00:00,effect an arrest,crime in progress,no,normal,no,black,male,NA,incident_officer_1,aimee mills - 7356,7356,ecw cartridge deployed,no,de-escalation techniques,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aimee mills,1421-2018-m
97,2018-01-12T00:00:00Z,00:42:00,non-compliance,call for service,no,drug impaired,no,white,male,NA,incident_officer_2,jonathon huelsman - 7307,7307,empty hand strikes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jonathon huelsman,97-2018-m
681,2017-03-04T00:00:00Z,11:00:00,active aggression,call for service,no,emotionally disturbed,no,white,female,NA,incident_officer_2,james talley jr - 7543,7543,de-escalation techniques,no,verbal directions,no,hobble,yes,empty hand control,no,NA,NA,NA,NA,NA,NA,NA,NA,james talley jr,681-2017-m
1967,2019-07-25T00:00:00Z,21:01:00,resisting arrest,criminal investigation,yes,emotionally disturbed,no,black,male,NA,incident_officer_2,brett ringswald - 7220,7220,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brett ringswald,1967-2019-m
2759,2018-08-20T00:00:00Z,03:15:00,resisting arrest,traffic stop,yes,drug impaired,no,white,male,NA,incident_officer_2,alexander marson - 7444,7444,ecw cartridge deployed,limited,take down,yes,empty hand control,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,alexander marson,2759-2018-m
1248,2018-04-16T00:00:00Z,03:50:00,failure to comply,call for service,yes,emotionally disturbed,no,hispanic,male,NA,incident_officer_1,christopher bond - 7391,7391,verbal directions,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher bond,1248-2018-m
1668,2018-05-16T00:00:00Z,14:32:00,escape,other,yes,other,yes,black,male,NA,incident_officer_1,megan woolston - 5052,5052,hobble,yes,take down,no,empty hand control,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,megan woolston,1668-2018-m
4334,2017-12-08T00:00:00Z,11:51:00,resisting arrest,call for service,yes,other,yes,black,male,NA,incident_officer_1,christopher maybody - 7261,7261,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher maybody,4334-2017-m
3328,2018-10-19T00:00:00Z,20:55:00,assaulting officer,other,yes,excited,yes,black,male,NA,incident_officer_2,william wolf - 7750,7750,take down,yes,verbal directions,no,de-escalation techniques,no,empty hand control,no,NA,NA,NA,NA,NA,NA,NA,NA,william wolf,3328-2018-m
3313,2017-09-11T00:00:00Z,23:31:00,resisting arrest,call for service,yes,NA,no,white,male,NA,incident_officer_4,daniel ponton - 7409,7409,take down,yes,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,daniel ponton,3313-2017-m
1545,2017-05-07T00:00:00Z,01:38:00,assaulting officer,crowd control,yes,alcohol impaired,yes,hispanic,male,NA,incident_officer_2,william hirtzel - 2931,2931,verbal directions,no,empty hand control,yes,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,william hirtzel,1545-2017-m
1987,2017-06-07T00:00:00Z,02:25:00,resisting arrest,self initiated,yes,NA,yes,black,male,NA,incident_officer_3,john sholar - 7416,7416,de-escalation techniques,no,empty hand control,no,verbal directions,no,take down,no,NA,NA,NA,NA,NA,NA,NA,NA,john sholar,1987-2017-m
1537,2019-05-31T00:00:00Z,15:47:00,active aggression,call for service,yes,emotionally disturbed,no,other,male,NA,incident_officer_2,ryan pickerrell - 7488,7488,take down,yes,empty hand control,no,verbal directions,no,hobble,yes,NA,NA,NA,NA,NA,NA,NA,NA,ryan pickerrell,1537-2019-m
1482,2018-05-03T00:00:00Z,18:10:00,assaulting officer,call for service,yes,excited,no,black,male,NA,incident_officer_1,emmalee scaff - 7374,7374,verbal directions,no,empty hand control,yes,ecw stun feature,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,emmalee scaff,1482-2018-m
3343,2017-09-15T00:00:00Z,02:20:00,effect an arrest,effecting an arrest,yes,alcohol and drug impaired,no,white,male,NA,incident_officer_1,jacob martion - 7702,7702,verbal directions,no,k-9 bite,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jacob martion,3343-2017-m
2029,2017-06-10T00:00:00Z,10:15:00,effect an arrest,self initiated,yes,drug impaired,no,black,male,NA,incident_officer_2,thomas lawson - 7157,7157,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thomas lawson,2029-2017-m
2530,2017-07-22T00:00:00Z,11:16:00,effect an arrest,effecting an arrest,yes,normal,no,black,male,NA,incident_officer_2,daniel weedman - 7127,7127,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,daniel weedman,2530-2017-m
2540,2018-08-02T00:00:00Z,13:17:00,resisting arrest,warrant service,yes,normal,yes,white,male,NA,incident_officer_1,david waters - 7562,7562,come-along,yes,de-escalation techniques,no,empty hand control,yes,oc spray,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,david waters,2540-2018-m
1839,2018-05-30T00:00:00Z,22:30:00,effect an arrest,warrant service,yes,normal,yes,black,male,NA,incident_officer_4,mark erther - 7838,7838,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mark erther,1839-2018-m
261,2017-01-29T00:00:00Z,07:30:00,effect an arrest,effecting an arrest,yes,drug impaired,no,white,male,NA,incident_officer_5,olivia lucas - 7956,7956,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,olivia lucas,261-2017-m
1240,2017-04-18T00:00:00Z,18:22:00,active aggression,call for service,yes,excited,yes,white,male,NA,incident_officer_1,travis simmons - 8158,8158,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,travis simmons,1240-2017-m
494,2018-02-10T00:00:00Z,00:10:00,resisting arrest,traffic stop,yes,alcohol and drug impaired,no,black,female,NA,incident_officer_2,jason mcneil - 7139,7139,empty hand control,yes,take down,yes,de-escalation techniques,no,verbal directions,no,hobble,yes,NA,NA,NA,NA,NA,NA,jason mcneil,494-2018-m
3109,2018-09-29T00:00:00Z,02:34:00,active aggression,effecting an arrest,yes,alcohol impaired,no,white,male,NA,incident_officer_1,jason woods - 5006,5006,verbal directions,no,empty hand control,yes,take down,yes,hobble,yes,NA,NA,NA,NA,NA,NA,NA,NA,jason woods,3109-2018-m
490,2017-02-17T00:00:00Z,13:30:00,failure to comply,call for service,yes,excited,no,white,male,NA,incident_officer_1,huge hall iii - 6824,6824,take down,yes,verbal directions,no,empty hand control,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,huge hall iii,490-2017-m
2839,2017-08-09T00:00:00Z,01:51:00,active aggression,call for service,yes,excited,no,black,male,NA,incident_officer_1,david slovak - 7182,7182,verbal directions,no,empty hand control,yes,empty hand strikes,yes,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,david slovak,2839-2017-m
1010,2018-03-29T00:00:00Z,17:58:00,resisting arrest,call for service,yes,normal,yes,white,male,NA,incident_officer_3,kelly greer - 7043,7043,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kelly greer,1010-2018-m
1959,2018-06-10T00:00:00Z,03:05:00,non-compliance,effecting an arrest,yes,alcohol impaired,no,white,male,NA,incident_officer_2,antonio james - 7304,7304,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,antonio james,1959-2018-m
2305,2018-07-06T00:00:00Z,15:47:00,resisting arrest,call for service,no,excited,no,black,male,NA,incident_officer_3,kyle seng - 7292,7292,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kyle seng,2305-2018-m
193,2018-06-18T00:00:00Z,13:10:00,resisting arrest,call for service,yes,other,yes,white,male,NA,incident_officer_1,jay schweitzer - 7907,7907,empty hand control,no,empty hand strikes,no,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,jay schweitzer,193-2018-m
2234,2019-08-24T00:00:00Z,23:04:00,assaulting officer,call for service,no,excited,no,white,female,NA,incident_officer_2,evan stovall - 5165,5165,come-along,no,de-escalation techniques,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,evan stovall,2234-2019-m
354,2018-01-31T00:00:00Z,16:00:00,non-compliance,warrant service,yes,emotionally disturbed,no,black,male,NA,incident_officer_2,brandon hogan - 7784,7784,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,brandon hogan,354-2018-m
123,2019-01-11T00:00:00Z,14:09:00,effect an arrest,call for service,yes,emotionally disturbed,yes,black,male,NA,incident_officer_2,robert doolin - 5108,5108,empty hand control,yes,take down,yes,de-escalation techniques,no,verbal directions,no,ecw cartridge deployed,limited,empty hand strikes,no,NA,NA,NA,NA,robert doolin,123-2019-m
165,2018-01-18T00:00:00Z,18:00:00,active aggression,effecting an arrest,yes,excited,no,black,male,NA,incident_officer_4,james simon - 7939,7939,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,james simon,165-2018-m
1311,2017-04-24T00:00:00Z,23:47:00,resisting arrest,call for service,yes,emotionally disturbed,no,white,female,NA,incident_officer_2,christopher hodge - 7255,7255,empty hand control,yes,verbal directions,yes,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher hodge,1311-2017-m
2362,2018-07-12T00:00:00Z,14:45:00,attempting escape,escape from custody,yes,other,yes,black,female,NA,incident_officer_1,lenert elzy - 5110,5110,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lenert elzy,2362-2018-m
3312,2018-10-17T00:00:00Z,11:48:00,resisting arrest,effecting an arrest,yes,emotionally disturbed,no,white,male,NA,incident_officer_1,chase barnett - 7325,7325,verbal directions,no,take down,yes,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chase barnett,3312-2018-m
277,2019-01-26T00:00:00Z,21:12:00,assaulting officer,call for service,yes,alcohol and drug impaired,yes,white,male,NA,incident_officer_3,nicholas pedigo - 7413,7413,take down,no,empty hand strikes,no,empty hand control,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,nicholas pedigo,277-2019-m
1408,2019-05-20T00:00:00Z,13:43:00,effect an arrest,call for service,yes,other,no,black,male,NA,incident_officer_1,tyler blissett - 7390,7390,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tyler blissett,1408-2019-m
3019,2018-09-16T00:00:00Z,09:27:00,resisting arrest,call for service,yes,alcohol and drug impaired,no,black,male,NA,incident_officer_7,christopher maybody - 7261,7261,verbal directions,no,empty hand control,yes,other (in narrative),yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher maybody,3019-2018-m
1720,2019-06-26T00:00:00Z,11:30:00,resisting arrest,call for service,yes,excited,yes,white,male,NA,incident_officer_2,michael neal - 7262,7262,empty hand control,no,verbal directions,yes,take down,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,michael neal,1720-2019-m
4002,2018-12-14T00:00:00Z,09:00:00,attempting escape,effecting an arrest,yes,normal,yes,black,male,NA,incident_officer_8,phillip kirtz - 7337,7337,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,phillip kirtz,4002-2018-m
28,2017-01-08T00:00:00Z,01:35:00,resisting arrest,call for service,yes,alcohol impaired,no,white,male,NA,incident_officer_2,christopher maybody - 7261,7261,hobble,yes,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher maybody,28-2017-m
3743,2017-10-07T00:00:00Z,14:26:00,resisting arrest,effecting an arrest,yes,excited,yes,black,male,NA,incident_officer_2,stephen payne - 7216,7216,take down,yes,knee strike(s),yes,empty hand strikes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,stephen payne,3743-2017-m
4025,2017-11-07T00:00:00Z,19:08:00,active aggression,call for service,yes,alcohol and drug impaired,yes,white,female,NA,incident_officer_3,christina gaddis - 7200,7200,empty hand control,yes,hobble,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christina gaddis,4025-2017-m
1757,2019-07-01T00:00:00Z,05:00:00,active aggression,call for service,no,alcohol impaired,no,white,male,NA,incident_officer_1,grant combs - 5059,5059,verbal directions,yes,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,grant combs,1757-2019-m
2496,2018-07-29T00:00:00Z,04:00:00,attempting escape,call for service,no,emotionally disturbed,no,black,male,NA,incident_officer_2,chase barnett - 7325,7325,verbal directions,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chase barnett,2496-2018-m
945,2017-03-26T00:00:00Z,18:28:00,effect an arrest,call for service,yes,excited,no,black,male,NA,incident_officer_1,lance kilkelly - 7134,7134,take down,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lance kilkelly,945-2017-m
3050,2018-09-17T00:00:00Z,17:00:00,effect an arrest,call for service,yes,NA,no,black,male,NA,incident_officer_1,luke singleton - 7064,7064,verbal directions,no,take down,yes,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,luke singleton,3050-2018-m
1352,2017-04-28T00:00:00Z,10:45:00,active aggression,call for service,yes,other,yes,black,male,NA,incident_officer_2,earnest cansler - 7393,7393,take down,no,empty hand control,yes,empty hand strikes,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,earnest cansler,1352-2017-m
1564,2017-05-07T00:00:00Z,20:20:00,active aggression,effecting an arrest,no,excited,no,white,male,NA,incident_officer_1,jordan settle - 7737,7737,empty hand control,yes,verbal directions,no,knee strike(s),yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jordan settle,1564-2017-m
3743,2017-10-07T00:00:00Z,14:26:00,resisting arrest,effecting an arrest,yes,excited,yes,black,male,NA,incident_officer_1,braden lammers - 7361,7361,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,braden lammers,3743-2017-m
401,2017-02-11T00:00:00Z,20:30:00,resisting arrest,effecting an arrest,no,emotionally disturbed,yes,white,female,NA,incident_officer_2,christopher mostek - 7340,7340,empty hand control,no,de-escalation techniques,no,knee strike(s),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christopher mostek,401-2017-m
820,2017-02-25T00:00:00Z,05:49:00,effect an arrest,call for service,yes,alcohol impaired,no,black,male,NA,incident_officer_3,chase barnett - 7325,7325,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chase barnett,820-2017-m
642,2019-03-01T00:00:00Z,22:31:00,active aggression,call for service,no,alcohol and drug impaired,no,black,male,NA,incident_officer_1,dwaine durrett - 7384,7384,take down,yes,verbal directions,no,empty hand control,no,de-escalation techniques,no,NA,NA,NA,NA,NA,NA,NA,NA,dwaine durrett,642-2019-m
271,2018-01-22T00:00:00Z,12:56:00,combative subject,mental inquest interview,yes,emotionally disturbed,yes,white,male,NA,incident_officer_1,jennifer knopf - 7725,7725,verbal directions,no,de-escalation techniques,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jennifer knopf,271-2018-m
4284,2017-12-03T00:00:00Z,03:35:00,resisting arrest,call for service,no,excited,yes,white,male,NA,incident_officer_2,james marcum - 7209,7209,empty hand control,no,take down,yes,empty hand strikes,no,verbal directions,yes,NA,NA,NA,NA,NA,NA,NA,NA,james marcum,4284-2017-m
261,2017-01-29T00:00:00Z,07:30:00,effect an arrest,effecting an arrest,yes,drug impaired,no,white,male,NA,incident_officer_2,alred ceralde - 6130,6130,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alred ceralde,261-2017-m
2450,2017-07-13T00:00:00Z,11:35:00,active aggression,call for service,yes,emotionally disturbed,yes,white,male,NA,incident_officer_3,gary boehnlein - 2017,2017,verbal directions,no,empty hand strikes,no,empty hand control,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gary boehnlein,2450-2017-m
4219,2017-11-28T00:00:00Z,14:35:00,resisting arrest,self initiated,yes,other,yes,black,male,NA,incident_officer_2,robert king - 7665,7665,verbal directions,yes,empty hand control,yes,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,robert king,4219-2017-m
911,2018-03-17T00:00:00Z,21:34:00,combative subject,effecting an arrest,yes,alcohol impaired,no,black,male,NA,incident_officer_2,cody pfeiffer - 7290,7290,verbal directions,no,empty hand control yes,NA,knee strike(s),no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cody pfeiffer,911-2018-m
2829,2019-11-01T00:00:00Z,00:30:00,attempting escape,traffic stop,yes,alcohol and drug impaired,no,black,male,NA,incident_officer_2,kyle willis - 5170,5170,de-escalation techniques,yes,come-along,yes,ecw cartridge deployed,no,verbal directions,no,take down,y es,NA,NA,NA,NA,NA,NA,kyle willis,2829-2019-m
3894,2018-12-09T00:00:00Z,13:00:00,non-compliance,call for service,yes,emotionally disturbed,yes,black,male,NA,incident_officer_1,bradley steller - 7740,7740,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,bradley steller,3894-2018-m
311,2017-02-01T00:00:00Z,23:42:00,assaulting officer,self initiated,yes,alcohol impaired,yes,black,male,NA,incident_officer_3,alan ware - 7322,7322,verbal directions,no,empty hand control,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alan ware,311-2017-m
539,2017-02-21T00:00:00Z,18:17:00,active aggression,effecting an arrest,yes,excited,no,white,male,NA,incident_officer_1,zachary cooke - 7171,7171,verbal directions,no,empty hand control,no,empty hand strikes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,zachary cooke,539-2017-m
3276,2017-09-10T00:00:00Z,19:03:00,suicide attempts,call for service,yes,emotionally disturbed,no,white,male,NA,incident_officer_2,thomas mcgrath jr. - 7980,7980,de-escalation techniques,no,de-escalation techniques,no,ecw cartridge deployed,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,thomas mcgrath jr.,3276-2017-m
1499,2018-05-04T00:00:00Z,23:18:00,resisting arrest,warrant service,no,excited,yes,white,male,NA,incident_officer_2,william burns - 7423,7423,take down,yes,verbal directions,no,empty hand control,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,william burns,1499-2018-m
2101,2017-06-13T00:00:00Z,17:10:00,effect an arrest,self initiated,yes,normal,no,white,male,NA,incident_officer_1,kent rusch - 7221,7221,empty hand control,yes,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kent rusch,2101-2017-m
2364,2019-09-10T00:00:00Z,23:55:00,active aggression,self initiated,yes,other,no,black,male,NA,incident_officer_4,jorge soto-perez - 7881,7881,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,jorge soto-perez,2364-2019-m
667,2019-03-03T00:00:00Z,02:05:00,resisting arrest,call for service,yes,alcohol impaired,no,white,male,NA,incident_officer_2,alexander marson - 7444,7444,verbal directions,no,empty hand control,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,alexander marson,667-2019-m
2371,2017-07-08T00:00:00Z,10:43:00,active aggression,criminal investigation,yes,excited,no,black,male,NA,incident_officer_1,beau gadegaard - 7201,7201,take down,yes,de-escalation techniques,no,verbal directions,no,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,beau gadegaard,2371-2017-m
582,2018-02-17T00:00:00Z,22:21:00,resisting arrest,criminal investigation,no,emotionally disturbed,yes,black,male,NA,incident_officer_4,christina beaven - 7852,7852,verbal directions,no,empty hand control,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,christina beaven,582-2018-m
243,2018-01-21T00:00:00Z,11:38:00,failure to comply,field interview contact,no,other,no,white,male,NA,incident_officer_1,meagan audas - 7985,7985,ecw stun feature,yes,empty hand control,no,verbal directions,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,meagan audas,243-2018-m
275,2017-01-29T00:00:00Z,23:45:00,effect an arrest,call for service,yes,emotionally disturbed,no,black,female,NA,incident_officer_1,philip renaud - 7316,7316,empty hand control,no,take down,yes,de-escalation techniques,no,verbal directions,no,hobble,yes,NA,NA,NA,NA,NA,NA,philip renaud,275-2017-m
3134,2019-12-13T00:00:00Z,23:35:00,assaulting officer,call for service,yes,alcohol impaired,yes,white,male,NA,incident_officer_3,evan stovall - 5165,5165,empty hand control,yes,take down,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,evan stovall,3134-2019-m
845,2019-02-01T00:00:00Z,12:43:00,failure to comply,call for service,yes,alcohol and drug impaired,no,black,male,NA,incident_officer_1,shaun sargent - 7266,7266,verbal directions,no,take down,yes,empty hand control,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shaun sargent,845-2019-m
3109,2019-12-12T00:00:00Z,03:50:00,active aggression,self initiated,yes,alcohol impaired,no,black,female,NA,incident_officer_2,joshua durairaj - 7332,7332,empty hand control,no,take down,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,joshua durairaj,3109-2019-m
